epoch_id,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_mean_band_power,TP9_alpha_beta_ratio,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_mean_band_power,AF7_alpha_beta_ratio,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_mean_band_power,AF8_alpha_beta_ratio,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_mean_band_power,TP10_alpha_beta_ratio,overall_alpha_beta_ratio
10,1.5688258032143938e-10,3.8660890559393506e-11,3.7367039882326805e-11,4.4588397380998127e-11,6.937472703603945e-11,0.8380440221484886,3.246642882976104e-10,2.525913666614461e-10,4.246378790277063e-11,1.3606881942991606e-10,1.889470655729358e-10,0.3120758163455819,1.0076357642201464e-09,1.9147845404360394e-10,1.7461205479225494e-10,3.0060765272492548e-09,1.094950700076315e-09,0.05808636380659135,8.185414126640749e-11,2.921162530398472e-11,2.2933404813428434e-12,3.131890875320528e-11,3.6169503951235086e-11,0.07322542746985511,0.07977999453621253
11,1.2860573233047099e-10,8.484533457982262e-11,2.3252917024826376e-11,8.318822217563624e-11,7.997305152768906e-11,0.2795217449861139,1.1534868148921593e-09,4.549173133431249e-10,1.2105667328937087e-10,2.5053290535145677e-10,4.949984267190279e-10,0.4831967007269888,1.8278499723688072e-10,2.0004265413808832e-10,1.0874069756127785e-10,1.6699738753206195e-09,5.403855560642166e-10,0.06511520878756301,1.0457598973545919e-10,5.844520421406361e-11,3.0437433583989414e-11,4.994161681427302e-11,6.085006108694632e-11,0.6094603163766731,0.13804181262901546
12,1.3431598884678455e-10,5.1739715227187195e-11,3.9506352495621144e-11,6.09820511332425e-11,7.163602692570885e-11,0.6478357444767131,9.89778202092261e-10,2.205879333080513e-09,1.5493648569105472e-10,2.2257617195508154e-10,8.932925482047276e-10,0.696105447093064,2.5032743419230887e-09,1.0160293412596904e-09,1.3420693664462788e-10,1.318743654122763e-09,1.2430635684875425e-09,0.10176878290565367,1.2904687540384392e-10,4.23188631870903e-11,5.048812142393537e-11,8.520545465449944e-11,7.676482866734226e-11,0.5925456489688391,0.22467333272922238
13,3.5830619969521404e-10,4.69795190438497e-10,7.137108149914185e-11,1.0302932240129151e-10,2.506254485085361e-10,0.6927259137079134,8.623992339499358e-10,3.413488994791214e-10,7.144385496679102e-11,2.1518596212755708e-10,3.725944876308513e-10,0.33200983121957006,1.5865401389034013e-08,4.923371422877746e-09,1.9766194949032638e-10,1.7945491599204035e-09,5.6952459803306225e-09,0.11014574239866107,1.057967360610947e-09,1.7382894387141682e-09,2.148196200378691e-10,2.4218820340980704e-10,8.133161556931978e-10,0.8869945646129282,0.23579943592452315
14,2.4833959667032644e-11,4.971183613244062e-11,4.9749304964202055e-11,6.846722978583007e-11,4.819058263737635e-11,0.7266148363212752,3.498734988736198e-09,4.784231936111867e-10,1.312318522269336e-10,5.672583202180959e-10,1.1689120886981036e-09,0.2313440764984785,3.4302899166811394e-09,8.287198217308653e-10,3.9348599990030056e-10,2.801147343857414e-09,1.8634107705424297e-09,0.1404731531753119,1.6232304593308019e-10,1.047553366335222e-10,3.265841243691419e-11,1.9287501789861619e-10,1.2315295322553317e-10,0.16932422245622772,0.16726383878101703
15,1.1507731920101694e-10,1.0117597522433453e-10,2.980716116174718e-11,4.446522289827059e-11,7.263141962134231e-11,0.6703477283795757,1.6882256310662096e-09,2.3098064198986692e-09,6.691860750940765e-10,1.615144305692881e-09,1.570590607937959e-09,0.41431968198470187,2.458127444685431e-09,4.1488058356624623e-10,1.9358934395823406e-10,1.6978982974493954e-09,1.1911239174148267e-09,0.11401704345251212,2.723550487186557e-10,1.1162916963909776e-10,5.5298666574905245e-11,2.678937999369681e-10,1.7679417121740672e-10,0.20642010598198354,0.26145551433446673
16,3.813442401216241e-11,1.2878832345718195e-11,4.924115739823025e-11,4.960048977478742e-11,3.7463725882724567e-11,0.9927554671700073,5.887973242434976e-09,6.558826949057289e-10,3.0062936107884687e-10,1.9069074922182355e-09,2.187848197659447e-09,0.157652829151736,3.000537070792812e-10,4.4563539391270767e-10,2.273251742968135e-10,1.8526859995785719e-09,7.064250687168435e-10,0.12270032501380312,3.7324162545749804e-11,1.8374137958486947e-11,5.182261275812788e-11,3.8284348088157535e-11,3.645131533763055e-11,1.3536240094462553,0.1634884596186004
17,6.598390786896279e-12,6.360382504298637e-12,1.951893811163814e-11,5.3118902835694207e-11,2.1399153559631816e-11,0.367457478781396,2.1687800915794312e-08,3.0122370147026385e-09,1.2134666458094225e-09,1.5458383905954093e-09,6.864835741725446e-09,0.7849893321267771,3.741094404715153e-11,9.419365568872089e-10,1.6299677550805383e-10,2.3854579416105046e-09,8.819505545132298e-10,0.06832934367227163,1.580336485098145e-11,3.626973202128219e-11,2.540302578137108e-11,5.630023554479129e-11,3.34440895496065e-11,0.45120638547170844,0.35176576909638485
18,1.3427585063308692e-09,2.958895815185568e-10,1.1689134614919563e-10,1.174471650666641e-10,4.682466497663215e-10,0.9952674982222605,1.131387958496235e-08,2.8776908339026017e-09,3.101473618176602e-09,2.517244479489594e-09,4.952572129132787e-09,1.2320907418597133,1.5700967863756485e-09,8.510807419103288e-11,1.438162863253789e-10,1.4961832064005303e-09,8.238010883231476e-10,0.09612210971901464,1.1560701479157631e-09,2.5715942621154285e-10,5.5282400090399976e-11,4.0611711821503215e-11,3.7728092150980234e-10,1.3612427945263041,0.8192435956129459
19,1.1482369615775914e-10,1.1611005617227075e-11,1.159969323674885e-11,5.872876592430672e-11,4.9190790234010446e-11,0.19751297433525603,6.514996800280831e-09,2.2086789617437672e-09,1.7321415941563973e-09,4.083798156399699e-09,3.634903878145174e-09,0.4241496586803555,1.3571097669730857e-08,3.080843358708921e-10,1.9788297046856524e-10,8.389279616523127e-10,3.728998234430657e-09,0.23587599831435385,1.5883611460898444e-10,1.3622403534622826e-11,4.291504778469804e-12,1.8733993298660414e-11,4.887100405518437e-11,0.22907581475310287,0.38916845151271034
20,4.839368663110181e-12,2.7933129308580507e-11,1.2770884047941083e-11,5.808548273441923e-11,2.590721618851275e-11,0.21986361215818126,5.097507182913772e-09,7.79309635577502e-09,4.4025285562408445e-09,2.8666534845545764e-09,5.039946394871054e-09,1.5357728375478608,2.7821225622387624e-09,5.285105342665797e-10,4.745808488415799e-11,1.681385412384701e-09,1.2598691484435503e-09,0.02822558381593689,5.943483058741814e-12,2.2925941367081974e-11,2.0142552749595117e-11,3.997049510908395e-11,2.2245618071125714e-11,0.5039355328129871,0.964874846240011
21,2.0792500466524184e-11,1.558861733737024e-11,9.358826492781463e-12,3.784325494859975e-11,2.0895799811318912e-11,0.24730500865987878,1.6361210393198044e-09,6.595953078582405e-10,3.046646421059831e-10,8.10550529431031e-10,8.527328796787648e-10,0.37587371921136564,2.971176347797741e-10,4.2695055983629845e-10,7.562343679733775e-10,9.711143219805551e-10,6.128542211425012e-10,0.7787284677575992,2.6307379585544227e-11,5.507322108984756e-12,1.5622742794888754e-11,2.5686641216056242e-11,1.8281021426368494e-11,0.6082049678462152,0.5884910418227619
22,4.5474353421557204e-11,1.0355313327340803e-11,1.6747678585532267e-11,1.1833965352072307e-10,4.7729249713788334e-11,0.14152211948634355,2.6365118037733326e-09,2.1898746896637317e-09,8.575376222102517e-10,1.0744186217234922e-09,1.689585684342702e-09,0.7981410642666095,1.4956888604281552e-09,2.980534898138173e-10,3.046414200421771e-10,1.2601513919908573e-09,8.396337905687518e-10,0.2417498579761021,2.1906309431484733e-10,1.822659583387929e-11,1.1861032927045691e-11,1.1722587546621486e-10,9.15941496354968e-11,0.10118101383225844,0.4633171029234723
23,7.233505644789139e-12,8.738836030531657e-12,1.1287515198860875e-11,3.7176257625550885e-11,1.610902862493314e-11,0.30362161012955413,8.62500905011591e-08,4.621065420342577e-08,1.8134261177903285e-08,2.166395450389812e-08,4.3064740096596576e-08,0.8370706823004214,9.330238462651858e-10,1.4136330436876734e-10,3.634152718477191e-11,6.780135713800441e-10,4.471855622996923e-10,0.05359999964425719,4.2669503317027825e-12,2.720709300034707e-11,1.5030017129073103e-11,7.964352777511917e-11,3.153689705906053e-11,0.18871611477974382,0.8102360799834358
24,1.8456969745194737e-11,1.6251853661125564e-11,7.714292493213276e-11,5.7632560796982746e-11,4.237107728385895e-11,1.3385302312676595,1.3878724666999388e-08,1.5492957010030244e-09,1.2647869113471962e-09,1.6794052819170843e-09,4.593053140316673e-09,0.7531159541807618,3.105455340820143e-09,4.746560965785795e-10,5.506162797356084e-10,1.2040154932503743e-09,1.3336858025961763e-09,0.4573166066569113,6.114678479743726e-11,1.0979371349361146e-10,5.418134716349019e-11,3.400189900674042e-11,6.478093611531983e-11,1.593480033357827,0.6543500235878091
25,9.245931919357767e-11,5.559758703272682e-11,1.0132449995468831e-11,5.5643515708894284e-11,5.34582179826669e-11,0.18209579079219143,2.2049714362662447e-09,9.467581614117436e-10,3.0185842139731394e-10,4.956463534384104e-10,9.873085931284282e-10,0.6090197563308074,2.010441699002134e-09,2.4287205213563635e-10,2.3795901102286364e-10,1.8035576687870158e-09,1.0737076077369123e-09,0.13193867606290802,5.856149195256318e-10,4.788071301409149e-11,2.6129954212742834e-11,5.131971526213673e-11,1.777363255036507e-10,0.5091601556881845,0.23941803541009035
26,4.621165731911806e-09,7.213854418210927e-10,1.1961726960058887e-10,7.197896747407693e-11,1.3835368527018912e-09,1.6618364196967506,7.746273709162953e-09,1.4206376179277714e-09,7.022539638855083e-10,5.840562365123341e-10,2.6133053818721418e-09,1.202373881116289,3.581158972276784e-09,6.918796479578511e-10,3.5193553969160035e-10,2.155119838972956e-09,1.695023499724798e-09,0.1633020741247126,3.2455394813785524e-09,1.0090094870760435e-09,1.5431680013496688e-10,7.106627477458059e-11,1.119983010841036e-09,2.171449124418772,0.460798608746971
27,2.1670111501270763e-10,6.206493238414513e-11,8.275309778215258e-11,6.33956290353041e-11,1.0622869355357736e-10,1.3053439021177407,6.0573873976043744e-09,6.38184100436533e-09,1.5270351052556507e-09,2.3829168377554833e-09,4.08729508624521e-09,0.6408260166955702,9.749004602555616e-09,5.122639294134733e-10,1.6710264366233022e-10,9.595030734020541e-10,2.8469685622583684e-09,0.17415540220193784,7.475001247620842e-10,5.448798889523146e-11,1.1102675037825126e-11,4.253818931206556e-11,2.139072445018016e-10,0.26100488096412594,0.5185064126221955
28,2.8307621159607957e-11,3.085864488722215e-11,2.3120869618141946e-11,7.591017962605761e-11,3.9549328822757414e-11,0.3045819379171284,2.636524904959564e-09,1.0074040205627704e-09,3.168997656826035e-10,4.6764507307134e-10,1.1071184410690694e-09,0.6776501751666267,4.2339898541322895e-11,7.852744343826224e-11,1.8460503869695994e-10,1.0630312561856868e-09,3.4212590921555796e-10,0.17365908821848766,2.499069631560291e-11,3.354355286822603e-11,7.385444105680991e-12,3.654478215289089e-11,2.5616118860600208e-11,0.20209298484207167,0.3237788246172097
29,1.0329376178341452e-11,2.022983207455207e-11,1.9881092290534495e-11,4.8695973572040616e-11,2.478406852886716e-11,0.40826973632886693,5.215689367841196e-10,7.48396137261787e-11,4.663682766559091e-11,5.678780048976353e-11,1.749582946664132e-10,0.8212472971901348,4.614758864374909e-10,2.7887197061544934e-10,1.731383194676673e-10,1.6603788655807402e-09,6.43466260525337e-10,0.10427639321168414,8.610302469795718e-12,4.782212265246912e-11,1.165994700409704e-11,2.8690340895782325e-11,2.419567825553605e-11,0.4064067083222121,0.1400438934672747
30,1.2242165906742202e-11,1.2977023149735233e-11,1.9663734090420092e-11,7.11436709080655e-11,2.9006648513740755e-11,0.276394707209167,1.078499108609492e-10,1.0813108945081785e-10,1.0677479487527504e-10,6.395887498877787e-11,9.667866754395499e-11,1.6694289087168839,2.549611656411126e-10,3.686035132986424e-11,8.358232839173653e-11,1.5060409667539128e-09,4.703612030291565e-10,0.055498044367204714,5.6620365078599333e-11,2.0960380398885204e-11,1.5223423394491125e-11,1.9349166783009694e-11,2.803833391374634e-11,0.7867741058420489,0.13564906581143849
31,1.1916038117856543e-11,5.331227861024207e-11,3.1182783960473104e-11,7.172030613241145e-11,4.2032851705245796e-11,0.4347831965873491,1.7789282764093046e-10,3.4644841040657946e-10,1.7818490093575764e-10,1.243033044028262e-10,2.067073608465234e-10,1.4334687383556504,4.8885575665205955e-09,2.121883758558172e-10,3.5312519423544347e-10,9.701298584945892e-10,1.6060002487766116e-09,0.36399786187738803,6.440881515801456e-11,2.6489984337794003e-11,2.7215756919803897e-11,8.130992211323417e-11,4.985611963221166e-11,0.3347163078314424,0.47272620602607285
32,1.740712071053824e-11,1.976941257475703e-11,1.2805740915218775e-11,6.243129007714358e-11,2.8103391069414407e-11,0.2051173522026421,2.6745329379119783e-11,1.62918490027092e-11,6.076338282836651e-11,6.636159895244311e-11,4.2540540040659653e-11,0.9156407287882188,1.7250360080662715e-10,3.3377038481269644e-11,2.607988447790335e-10,6.348552915548587e-10,2.7538369390544727e-10,0.4108004583852437,2.5676682202272963e-11,6.710909017057655e-12,5.46411295796319e-12,6.138665388924552e-11,2.480958951663483e-11,0.08901141554028345,0.41190028260730205
33,4.615815475674175e-12,1.3781582590562487e-11,2.4731544541133854e-12,3.0372545252100116e-11,1.281077444311254e-11,0.08142730329597184,1.229148419785981e-10,2.9815760855846145e-11,1.845025268548701e-11,4.506084382485199e-11,5.406042483619582e-11,0.40945200132517967,2.6841401963783037e-10,2.0507745941486746e-10,1.6093827831733617e-10,1.245708335411835e-09,4.700345231954673e-10,0.129194189155144,6.2211776196060265e-12,5.693157152886714e-12,3.8634523137486756e-11,3.022100322142608e-11,2.0192465282851394e-11,1.27839975577302,0.16316582074750446
34,3.195471133877271e-11,1.69497619665425e-11,3.877051525072531e-11,4.925037828497734e-11,3.4231341710254464e-11,0.7872125372598678,1.1911420120214765e-09,1.5347405705726855e-10,5.58262194305327e-11,3.1221756790649844e-11,3.5791601132498194e-10,1.7880550349828903,1.6030945761452906e-09,1.2643230408529306e-10,2.272039593057453e-10,2.139359260246162e-09,1.0240225249456227e-09,0.10620187246138475,1.0247526054375845e-11,3.084605070901525e-11,1.5671797059658304e-11,5.105008597239443e-11,2.6953864948860957e-11,0.3069886516573723,0.14860858826253445
35,7.618830291493861e-12,8.86805302969344e-12,1.2044868854788813e-11,7.309146265009907e-11,2.5405803706518798e-11,0.16479173378222833,2.270287779181097e-11,5.54708049764722e-11,5.04914633020291e-11,2.592211902443983e-11,3.864681627368803e-11,1.9478138825928875,1.9581794879389105e-10,2.587594580386738e-11,4.170165337694512e-11,4.158322788867596e-10,1.6980695671536578e-10,0.10028479147551075,1.2513000846361843e-11,3.596271681843253e-11,9.287459460803943e-12,2.5570323568240715e-11,2.083337517345976e-11,0.36321243397714803,0.21007040190223952
36,1.4708649652011737e-11,8.813430266220195e-12,8.975088382004789e-12,3.3268742004186596e-11,1.6441477576105828e-11,0.26977540602152456,1.0302547044219183e-10,3.5659411483309016e-11,1.759525230972463e-11,1.4648263096387485e-10,7.569069129977508e-11,0.12011835255788057,8.985009504625066e-11,3.244912692767521e-11,5.691014448345886e-11,8.809450791453583e-10,2.650386114006858e-10,0.06460123999860443,1.1597937974896292e-11,4.4880255586271254e-11,3.2476357849026735e-11,3.857813940416473e-11,3.1883172703589754e-11,0.841833181968354,0.10548487513400343
37,4.300755610473167e-12,1.582313978489784e-11,2.3983976680854177e-11,2.7621469171857586e-11,1.7932335312020692e-11,0.8683092319104624,5.588289620521113e-10,6.615685608984902e-11,6.376637630673482e-11,7.722032771503994e-11,1.9149313054093374e-10,0.825771894442702,4.687164108641246e-10,6.028782483909348e-11,9.525408885454384e-11,2.033150631447356e-09,6.643522390012794e-10,0.04685048288170096,1.7523873429492767e-11,5.23736227546166e-12,8.795009365209907e-12,7.046688087785123e-11,2.550578148700389e-11,0.12481053873315837,0.08684762739675272
38,3.125775408667857e-12,1.7688598056338274e-11,1.1375732994970904e-11,6.265748082334167e-11,2.3711896820829675e-11,0.18155426687268164,3.7633568832367227e-10,2.7123073843841984e-11,3.424285997351305e-11,8.140616788449213e-11,1.2977694750637985e-10,0.4206420823309177,2.138248078940281e-10,1.49182219346899e-10,7.205413255762311e-11,1.3678811999028425e-09,4.507355899253482e-10,0.05267572400493621,1.1051571541424411e-11,6.0987051680970954e-12,2.1971793886369574e-11,7.021966917990364e-11,2.733543494394868e-11,0.3129008459165134,0.0882616932956402
39,1.1574123573465672e-11,1.1283502369122869e-11,7.1085181098049816e-12,5.202876672580866e-11,2.0498727694550546e-11,0.13662668860222724,1.291188060893249e-10,1.1713260697892344e-10,1.0810079499008828e-11,5.86964566644187e-11,7.893948730791897e-11,0.18416920055008718,2.3384547274917427e-10,9.145038507464906e-11,9.056065869079e-11,1.383032064052328e-09,4.4972214514173535e-10,0.06547979692202101,2.2160110406963203e-11,2.952882116978713e-11,1.8896370040360083e-11,5.3678017172172495e-11,3.1065829697320725e-11,0.35203181927808336,0.08231402370109243
40,4.1059461655678966e-11,4.2665971553214833e-11,3.130445242300792e-11,3.299123729474049e-11,3.7005280731660554e-11,0.9488717304942825,2.9986818027096146e-11,1.2818817254260432e-11,2.2220762207993325e-12,4.039058226276443e-11,2.1354573441230087e-11,0.05501471125975415,7.282710928927455e-10,1.9713125457617858e-10,1.388016125607324e-10,1.1547995162834667e-09,5.547508690782808e-10,0.12019541972743691,6.410606275647305e-11,2.149888162189759e-11,5.280536458982504e-12,6.81986904158707e-11,3.9771042813305966e-11,0.07742870760101364,0.13700355919270685
41,4.6052792174412985e-11,3.5600512110865295e-12,1.3057224763454917e-11,4.293230168252222e-11,2.640059245786916e-11,0.30413521408684513,1.0602193115916511e-10,1.2900337933037826e-11,1.9284751550393827e-11,4.237762406971109e-11,4.514616117807696e-11,0.4550692015831387,2.4624867124702634e-10,1.1617439204413632e-10,7.311375927981621e-11,1.9924738135059455e-09,6.070026590192311e-10,0.036694966219488555,7.281119464008076e-11,1.4918426426660265e-11,9.493891394080502e-12,6.242087521207498e-11,3.9911096918224124e-11,0.1520948138235005,0.05370964355957056
42,1.1957420293574135e-11,9.328504808294707e-12,1.8038813070052507e-11,5.833184037566704e-11,2.44141446368971e-11,0.30924471015965654,6.999283524815107e-11,4.755486035876031e-12,8.289522003237583e-12,2.7643394870582697e-11,2.7670309539461847e-11,0.2998735156100184,2.5993427907244515e-10,4.697964054168125e-11,1.4601206039903695e-11,6.903739846288584e-10,2.529722775707221e-10,0.021149704891839503,5.772646668125306e-12,2.3149555603341014e-12,1.5934565883873683e-11,3.078654643068458e-11,1.370217863575442e-11,0.5175821172326069,0.07045172494006895
43,4.349811279419467e-12,3.491466083684592e-12,5.050001459326494e-12,3.546114393934826e-11,1.2088105690444704e-11,0.14240943461846223,5.717476412270224e-11,1.8698776935779632e-11,1.6794657607666163e-11,5.4528667414241444e-11,3.679921652009736e-11,0.3079968465042636,1.4369805515955735e-10,8.406583063253162e-11,4.321177273272016e-11,8.217423278792261e-10,2.731794966010088e-10,0.052585550563328316,3.560436681345499e-12,5.593671894579188e-12,1.0628530712437084e-11,2.815401054686445e-11,1.1984162458806556e-11,0.37751391386122773,0.08052567061435187
44,1.3098278436151249e-11,4.2371390449386354e-12,1.499783260767452e-11,9.077045626860968e-11,3.077592658934352e-11,0.16522812844845292,1.1188268275354538e-10,1.882656322625667e-11,5.160817589256927e-12,4.509828059492437e-11,4.524208604099584e-11,0.11443490796493373,1.6569961993869324e-10,2.4121161466053996e-10,7.962482351021054e-11,9.220212620035628e-10,3.5213933002825163e-10,0.0863589884436991,2.271689734721094e-12,8.743742218973176e-12,2.150504489029434e-12,4.0757175585811237e-11,1.3480778007133735e-11,0.05276382521899008,0.09278135926297844
45,1.3334088029452743e-11,2.435305516169972e-11,4.864263306772055e-12,3.8925062976487606e-11,2.0369117368603033e-11,0.12496481533530922,5.486726535380957e-11,2.504420745645526e-11,5.720361137841144e-12,1.659692692424978e-11,2.555719021808894e-11,0.3446638744599833,4.2583130545323763e-10,2.3701534569892586e-10,4.4662503935284254e-11,1.5338241805883285e-09,5.60333333918944e-10,0.02911839864080971,3.857952076085667e-11,1.5867528492942887e-11,7.445212246127486e-12,2.6829336989659468e-11,2.2180399622396625e-11,0.27750265498536214,0.038790552347762394
46,1.1652996682090816e-10,5.1328253959473984e-11,3.536482933050497e-11,5.691012206117932e-11,6.503329304301661e-11,0.6214154538710565,4.7115730038334566e-11,3.212060766271984e-11,2.0886405897396567e-11,5.1280670805472287e-11,3.7850853600980815e-11,0.407295879116459,6.135603906444948e-10,2.3290589263531153e-10,2.4555399593336316e-10,1.8971677166264607e-09,7.472969989599075e-10,0.12943188616450144,1.6599174079576247e-10,5.3144926343478656e-11,2.0993786847718342e-11,2.5598203652531692e-11,6.64321644098728e-11,0.8201273469297535,0.15893938847619077
47,2.766484954703681e-12,1.2181952972961702e-11,9.166628927739613e-12,3.799188657552434e-11,1.5526738357732332e-11,0.24127859272050645,4.261406526923659e-11,1.4410916237377898e-11,9.004078241065556e-12,5.1229888153524573e-11,2.931473697530116e-11,0.17575830370900553,3.233736067912546e-09,3.807297732878091e-10,3.199709061668568e-10,1.4283317773813708e-09,1.3406921311871457e-09,0.2240172145112355,1.0318978758477061e-11,1.9191726503833238e-11,8.71881502125926e-12,5.276593891059536e-11,2.274886479854123e-11,0.1652356653035606,0.2208852595540249
48,2.7121232379522084e-11,1.0162217013555013e-11,2.04128510833286e-11,4.805386575734365e-11,2.6437541558437338e-11,0.42479102901745386,6.009979860130913e-11,8.767210609678305e-12,1.1244593124941578e-11,3.25518511167607e-11,2.8165863363172428e-11,0.3454363650352229,2.329797632769148e-10,1.8564429505493272e-10,2.966881237335568e-10,7.860612260168448e-10,3.7534335202056225e-10,0.3774364056053809,5.628127366331003e-11,5.560512634842207e-11,1.2583055359524653e-11,4.034611220512809e-11,4.120389189409621e-11,0.31187776645119514,0.3758806131685041
